Date,Open,High,Low,Close,Volume
28-09-20,115.010002,115.32,112.779999,114.959999,137672400
29-09-20,114.550003,115.309998,113.57,114.089996,99382200
30-09-20,113.790001,117.260002,113.620003,115.809998,142675200
01-10-20,117.639999,117.720001,115.830002,116.790001,116120400
02-10-20,112.889999,115.370003,112.220001,113.019997,144712000
05-10-20,113.910004,116.650002,113.550003,116.5,106243800
06-10-20,115.699997,116.120003,112.25,113.160004,161498200
07-10-20,114.620003,115.550003,114.129997,115.080002,96849000
08-10-20,116.25,116.400002,114.589996,114.970001,83477200
09-10-20,115.279999,117,114.919998,116.970001,100506900
12-10-20,120.059998,125.18,119.279999,124.400002,240226800
13-10-20,125.269997,125.389999,119.650002,121.099998,262330500
14-10-20,121,123.029999,119.620003,121.190002,151062300
15-10-20,118.720001,121.199997,118.150002,120.709999,112559200
16-10-20,121.279999,121.550003,118.809998,119.019997,115393800
19-10-20,119.959999,120.419998,115.660004,115.980003,120639300
20-10-20,116.199997,118.980003,115.629997,117.510002,124423700
21-10-20,116.669998,118.709999,116.449997,116.870003,89946000
22-10-20,117.449997,118.040001,114.589996,115.75,101988000
23-10-20,116.389999,116.550003,114.279999,115.040001,82572600
26-10-20,114.010002,116.550003,112.879997,115.050003,111850700
27-10-20,115.489998,117.279999,114.540001,116.599998,92276800
28-10-20,115.050003,115.43,111.099998,111.199997,143937800
29-10-20,112.370003,116.93,112.199997,115.32,146129200
30-10-20,111.059998,111.989998,107.720001,108.860001,190272600
02-11-20,109.110001,110.68,107.32,108.769997,122866900
03-11-20,109.660004,111.489998,108.730003,110.440002,107624400
04-11-20,114.139999,115.589996,112.349998,114.949997,138235500
05-11-20,117.949997,119.620003,116.870003,119.029999,126387100
06-11-20,118.32,119.199997,116.129997,118.690002,114457900
09-11-20,120.5,121.989998,116.050003,116.32,154515300
10-11-20,115.550003,117.589996,114.129997,115.970001,138023400
11-11-20,117.190002,119.629997,116.440002,119.489998,112295000
12-11-20,119.620003,120.529999,118.57,119.209999,103162300
13-11-20,119.440002,119.669998,117.870003,119.260002,81581900
16-11-20,118.919998,120.989998,118.150002,120.300003,91183000
17-11-20,119.550003,120.669998,118.959999,119.389999,74271000
18-11-20,118.610001,119.82,118,118.029999,76322100
19-11-20,117.589996,119.059998,116.809998,118.639999,74113000
20-11-20,118.639999,118.769997,117.290001,117.339996,73391400
